enormously,tremendously,uniquely,wrong

provisions,stipulations,jurisdictions,wrong

haphazardly,randomly,dangerously,wrong

prominent,conspicuous,conspicuous,correct

zenith,pinnacle,completion,wrong

flawed,imperfect,crude,wrong

urgently,desperately,desperately,correct

consumed,eaten,bred,wrong

advent,coming,arrest,wrong

concisely,succinctly,succinctly,correct

salutes,greetings,information,wrong

solitary,alone,restless,wrong

hasten,accelerate,accelerate,correct

perseverance,endurance,disturbance,wrong

fanciful,imaginative,logical,wrong

showed,demonstrated,demonstrated,correct

constantly,continually,continually,correct

issues,subjects,benefits,wrong

furnish,supply,protect,wrong

costly,expensive,beautiful,wrong

recognized,acknowledged,successful,wrong

spot,location,sea,wrong

make,earn,earn,correct

often,frequently,frequently,correct

easygoing,relaxed,boring,wrong

debate,argument,election,wrong

narrow,thin,thin,correct

arranged,planned,explained,wrong

infinite,limitless,structural,wrong

showy,striking,prickly,wrong

levied,imposed,imposed,correct

deftly,skillfully,skillfully,correct

distribute,circulate,research,wrong

discrepancies,differences,deposits,wrong

prolific,productive,serious,wrong

unmatched,unequaled,alienated,wrong

peculiarly,uniquely,partly,wrong

hue,color,contrast,wrong

hind,rear,muscular,wrong

highlight,accentuate,alter,wrong

hastily,hurriedly,hurriedly,correct

temperate,mild,windy,wrong

grin,smile,smile,correct

verbally,orally,overtly,wrong

physician,doctor,pharmacist,wrong

essentially,basically,basically,correct

keen,sharp,simple,wrong

situated,positioned,emptying,wrong

principal,major,most,wrong

slowly,gradually,continuously,wrong

built,constructed,organized,wrong

tasks,jobs,jobs,correct

unlikely,improbable,disagreeable,wrong

halfheartedly,apathetically,customarily,wrong

annals,chronicles,trails,wrong

wildly,furiously,abruptly,wrong

hailed,acclaimed,judged,wrong

command,mastery,observation,wrong

concocted,devised,devised,correct

prospective,potential,potential,correct

generally,broadly,descriptively,wrong

sustained,prolonged,analyzed,wrong

perilous,dangerous,offensive,wrong

tranquillity,peacefulness,harshness,wrong

dissipate,disperse,isolate,wrong

primarily,chiefly,occasionally,wrong

colloquial,conversational,recorded,wrong

resolved,settled,forgotten,wrong

feasible,possible,permitted,wrong

expeditiously,rapidly,actually,wrong

percentage,proportion,profit,wrong

terminated,ended,evaluated,wrong

uniform,alike,sharp,wrong

figure,solve,express,wrong

sufficient,enough,enough,correct

fashion,manner,ration,wrong

marketed,sold,diluted,wrong

bigger,larger,steadier,wrong

roots,origins,origins,correct

normally,ordinarily,haltingly,wrong

